experiment_id,batch_size,learning_rate,max_seq_len,pre_train_loss,pre_train_acc,post_train_loss,post_train_acc,precision,recall,f1_score
bs_8_lr_0.0001_seq_30,8,0.0001,30,1.3699502674508421,0.44865931203554743,0.31238640608294677,0.9000689496667433,0.6206772967074207,0.6304602976676115,0.6220319301809292
bs_8_lr_0.0001_seq_40,8,0.0001,40,1.3864933943932027,0.23928571428571427,0.3022315977263951,0.9070573139435416,0.9102373006006067,0.8852913893930229,0.8913595249062446
bs_16_lr_0.01_seq_10,16,0.01,10,1.3799372402742045,0.24518822753293185,0.4404361068773491,0.8329058755931987,0.5312573938871448,0.5515445893980967,0.5350651242770716
bs_16_lr_0.01_seq_20,16,0.01,20,1.4062415910174317,0.13855097464205626,0.510792319325587,0.7756046230809039,0.46801328432587785,0.5153286372791791,0.4833955786886176
bs_16_lr_0.01_seq_30,16,0.01,30,1.3592355113280448,0.3526277484103272,0.949389556927606,0.5328698383513368,0.1332174595878342,0.25,0.17381334424887432
bs_16_lr_0.01_seq_40,16,0.01,40,1.4331069381753025,0.22421585400627317,0.9424830371442262,0.5399344168805247,0.1799781389601749,0.3333333333333333,0.23374537328025702
bs_16_lr_0.001_seq_10,16,0.001,10,1.3988386413408773,0.1791670745461897,0.12193675834983546,0.9644050988487157,0.7095025176926579,0.7160563434668128,0.7118938455369408
bs_16_lr_0.001_seq_20,16,0.001,20,1.3349926752918277,0.4597550457133,0.2560451251966116,0.8890098326720718,0.5786946238658105,0.5915176682167512,0.5829766173945778
bs_16_lr_0.001_seq_30,16,0.001,30,1.3633451243666301,0.3007737684823413,0.2823489564758627,0.9079751781199723,0.6568818970469235,0.6705685530509499,0.6592027831582762
bs_16_lr_0.001_seq_40,16,0.001,40,1.358259006596237,0.3739449672084402,0.3188778108860612,0.871314513829484,0.7407975976495023,0.775426497277677,0.7524997897890604
bs_16_lr_0.1_seq_10,16,0.1,10,1.3868566657430819,0.2010648847651678,0.9852966039298618,0.5325360175352728,0.1331340043838182,0.25,0.17374337365774095
bs_16_lr_0.1_seq_20,16,0.1,20,1.4290233588699885,0.20110401932033808,0.980847241860002,0.534938761428325,0.13373469035708124,0.25,0.17425393525170968
bs_16_lr_0.1_seq_30,16,0.1,30,1.4148783902925413,0.0736803799892745,0.9854584243629461,0.5328698383513368,0.1332174595878342,0.25,0.17381334424887432
bs_16_lr_0.1_seq_40,16,0.1,40,1.3649473498681348,0.3780296549757628,0.9584648624865595,0.49945822640433424,0.1664860754681114,0.3333333333333333,0.22067630421118795
bs_16_lr_0.0001_seq_10,16,0.0001,10,1.3926955221709536,0.30596667446957926,0.16629295940707436,0.9553548551850355,0.701557959576885,0.7006836686469281,0.7008823030702763
bs_16_lr_0.0001_seq_20,16,0.0001,20,1.4249944265048753,0.17802829049508367,0.2976128285082739,0.916037605658099,0.6811685767194111,0.6688475783193065,0.6717054687086013
bs_16_lr_0.0001_seq_30,16,0.0001,30,1.3857705209553495,0.22250057458055617,0.32925235766568994,0.8930552363441354,0.6673947390473223,0.6587261463914131,0.6573586672814999
bs_16_lr_0.0001_seq_40,16,0.0001,40,1.361268549941699,0.3349301397205589,0.3914945013882735,0.8545623039635014,0.6856130342150963,0.7184527188882905,0.6983901556512311
bs_32_lr_0.01_seq_10,32,0.01,10,1.3857134608875776,0.29125194186120745,0.1260663333122587,0.9641071694579813,0.7174415448273246,0.7055723985449911,0.710664962162612
bs_32_lr_0.01_seq_20,32,0.01,20,1.3549287186924168,0.30701569777471105,0.49108616396249155,0.8025944454027945,0.4578346173919698,0.5002998187327168,0.472638033814461
bs_32_lr_0.01_seq_30,32,0.01,30,1.4020446472749541,0.1942733471232667,0.8492857585727396,0.5986593120355475,0.23019526735511567,0.3286554024933357,0.2620587347379675
bs_32_lr_0.01_seq_40,32,0.01,40,1.386209870180174,0.26493441688052466,0.6723766816588237,0.6998075278015398,0.39674704686983386,0.48834442427908853,0.42944780007029976
bs_32_lr_0.001_seq_10,32,0.001,10,1.3335669650213817,0.4116601051265135,0.12856891993860062,0.9614836883658573,0.7063907074161057,0.7110010302022665,0.7076414482239575
bs_32_lr_0.001_seq_20,32,0.001,20,1.4189014959524517,0.06992927376229083,0.19912679691676086,0.9447731585302744,0.6984199576297636,0.6894078436690968,0.6927222199719281
bs_32_lr_0.001_seq_30,32,0.001,30,1.354987828592537,0.3295181184402053,0.27160907704658543,0.9176089787788249,0.6698884740874964,0.6768666947802802,0.6699456004722449
bs_32_lr_0.001_seq_40,32,0.001,40,1.3994621294123308,0.19894496720844027,0.3738848428257577,0.8712147134302823,0.7578176233509109,0.7713752772736439,0.7590639234937232
bs_32_lr_0.1_seq_10,32,0.1,10,1.4045015547853998,0.26967802345129915,0.9883258052313767,0.49550977846821737,0.12387744461705434,0.25,0.16477211972930336
bs_32_lr_0.1_seq_20,32,0.1,20,1.3755802661171244,0.37516129032258067,0.974702314748134,0.534938761428325,0.13373469035708124,0.25,0.17425393525170968
bs_32_lr_0.1_seq_30,32,0.1,30,1.384586744413315,0.20087336244541482,0.9829714716636092,0.5328698383513368,0.1332174595878342,0.25,0.17381334424887432
bs_32_lr_0.1_seq_40,32,0.1,40,1.3769852812350698,0.2918021100655831,0.9560184649126734,0.5399344168805247,0.1799781389601749,0.3333333333333333,0.23374537328025702
bs_32_lr_0.0001_seq_10,32,0.0001,10,1.4032063014042897,0.20113255729820603,0.2435489655863985,0.9404796663190824,0.6888603721996265,0.6900134251723925,0.6885294742083625
bs_32_lr_0.0001_seq_20,32,0.0001,20,1.4438473559569258,0.15809556667241678,0.3828185605669671,0.8708176643091253,0.5968782206947398,0.6157626876920431,0.5996728231380175
bs_32_lr_0.0001_seq_30,32,0.0001,30,1.4011867085608596,0.09561020455067801,0.47477961710510713,0.8282119053091244,0.4496972261600992,0.49586118441161925,0.46938588410941334
bs_32_lr_0.0001_seq_40,32,0.0001,40,1.3637369268396689,0.3935058454519532,0.4445217872791084,0.8688551468491589,0.7503400125490325,0.7724440411373261,0.7547832012124283
